model,strategy,promt,fre,fkgl,wiener,avg_word_length,avg_sentence_length,words_per_sentence,avg_syllables_per_word,polysyllables,output,promts
german_gpt,contrastive,Das,71.0,9.3,5.0,4.78,15.4,15.4,1.6,10,"Das Wort ""Bären"" ist eine Abkürzung für Bären.
Sie leben in der Nähe von einem Zoo und haben sich an den Zaun geklammert, um zu sehen: Wie kann man sie schützen?   Das heißt: Man darf nicht mit ihnen spielen oder auf andere Menschen einwirken!
Der Besitzer des Zoos sagt dazu: Wir sind die Tiere sehr wichtig bei einer Rettung aus dem Wasser-Verhungerung geworden. Außerdem brauchen wir Hilfe beim Schutz vor Angriffen durch Wölfe wie zum Beispiel Wildtiere",Das
german_gpt,beam,Das,66.9,8.7,7.9,5.54,7.8,7.777777777777778,1.8,19,"Das Bundes-Verfassungs-Ministerium ist eine Bundes-Regierung.
Das heißt: Die Regierung ist die Regierung von Deutschland.
Die Regierung ist das oberste Bundes-Amt.
Sie hat die Aufgabe, die Verfassung zu schützen.
Der Präsident von Deutschland ist der Bundes-Präsident.
Er hat das Amt seit dem 1. Januar 2017.
In der Verfassung steht: Die Verfassung ist eine Verfassung.
Es gibt Gesetze, die die Verfassung schützen sollen.
Zum Beispiel die Gesetze zum Beispiel zum Schutz von",Das
german_gpt,sampling,Das,65.85,10.2,5.9,5.36,14.7,14.666666666666666,1.7,13,"Das Land USA hat ein neues Gesetz verabschiedet.
Es ist das wichtigste amerikanische Gericht in dem Jahr seit langem: Es entscheidet über die Todesstrafe für Menschen, denen es nicht gefällt oder weil sie sich an eine bestimmte Person erinnern können und deshalb hingerichtet werden wollen. Das neue Recht soll auch den Opfern helfen, ihre Strafe zu bezahlen. In der Regel sollen Täter bestraft wird. Die Richter müssen dann entscheiden, ob jemand einen bestimmten Grund dafür hatte.
Die Strafen sind unterschiedlich hoch; zum Beispiel wegen Verbrechen gegen Frauen mit",Das
german_gpt,contrastive,Das,74.0,8.1,3.5,4.74,12.4,12.428571428571429,1.6,7,"Heute hat ein Mann in einem Hotel eine Frau getötet.
Er war betrunken und wollte sie heiraten, weil er mit seiner Freundin geschlafen hatte. Das ist passiert: Der Ehemann von der Ehefrau wurde schwer verletzt!  Sie haben gesagt: Wir glauben fest daran dass es einen Unfall gegeben hätte. Die Polizei sucht nach dem Täter noch immer viele Menschen auf den Straßen um die Frauen zu finden. Sie wollen wissen warum sich bei uns Sorgen gemacht?
Und wir hoffen das Beste für alle Beteiligten an diesem Streit sind",Heute
german_gpt,beam,Das,79.5,6.0,4.0,5.03,6.9,6.909090909090909,1.6,8,"Heute ist eine Stadt in Deutschland.
Sie heißt Berlin.
Die Stadt Berlin ist eine deutsche Stadt.
In Berlin leben viele Menschen.
Viele Menschen haben Angst vor der Polizei.
Und viele Menschen wollen nicht, dass ihre Wohnung durchsucht wird.
Deshalb hat die Polizei gesagt: Die Polizei hat die Wohnung durchsucht.
Das heißt: Die Wohnung ist nicht sicher.
Aber die Polizei hat gesagt: Wir haben die Wohnung gefunden.
Wir haben die Polizei gerufen.
Dann haben wir gesagt: Das",Heute
german_gpt,sampling,Das,68.55,9.2,5.5,5.13,12.0,12.0,1.7,13,"Heute ist ein großes Fest.
Das heißt: Es gibt viele Menschen, die sich für den Umweltschutz einsetzen wollen und deshalb in der Stadt leben müssen. Die meisten von ihnen sind Rentner oder Pensionäre aus anderen Ländern wie Deutschland. Viele haben auch einen Job gefunden. In vielen Städten arbeiten sie als Angestellte mit Behinderung, weil es dort keine Arbeit mehr geben wird.
Viele Leute können nicht genug Geld verdienen.
Die Regierung hat gesagt: Wir brauchen eine neue Regelung zum Schutz vor Armut im Land Österreich!",Heute
german_gpt,contrastive,Das,64.35,10.8,6.4,5.42,16.2,16.2,1.7,12,"Wir haben ein Problem.
Es gibt eine Firma namens Panda-Virus, die in den USA arbeitet und Medikamente herstellt. Die Firmen sind von dem Virus betroffen worden. Das heißt: Sie arbeiten mit Menschen zusammen oder es ist gefährlich für sie selbst wenn man sich ansteckt (zum Beispiel bei der Arbeit auf einem Krankenbett) Man kann nicht sicher sein). In Deutschland hat das Bundeskriminalamt herausgefunden, dass viele Patienten über einen Impfstoff gegen diese Krankheit Bescheid wissen müssen – deshalb muss jeder Arzt impfen lassen",Wir
german_gpt,beam,Das,84.75,5.0,1.1,4.73,7.5,7.5,1.5,3,"Wir ist eine Stadt in Deutschland.
Sie ist in der Nähe von Berlin.
Die Stadt Berlin ist eine Bundes-Stadt.
Das heißt: Die Stadt Berlin gehört zu den Bundes-Ländern.
In Berlin leben viele Menschen.
Und die Menschen sind sehr stolz auf die Stadt.
Viele Menschen haben gesagt: Die Menschen sind stolz auf Berlin.
Und sie haben sich gefreut.
Aber die Menschen haben auch gesagt: Das ist nicht so.
Deshalb haben viele Menschen gesagt: Wir sind stolz",Wir
german_gpt,sampling,Das,82.15,6.0,2.1,4.52,10.1,10.125,1.5,7,"Wir ist ein Mann.
Er hat einen Sohn bekommen, der ihm sehr gut gefällt und ihn großgezogen wurde: Er heißt David.David.
Seine Eltern haben sich getrennt, um den Jungen zu versorgen. Die beiden leben jetzt in einem Haus auf dem Land USA mit ihren Kindern zusammen. Das Paar lebt dort im Moment noch bei seiner Familie. In diesem Jahr sollen die Kinder nach Hause kommen.  Sie wollen das Baby besuchen.
Die Mutter von Davids Vater sagt dazu auch: Sie will nicht",Wir
german_gpt,contrastive,Das,52.7,14.2,9.0,5.32,22.0,22.0,1.8,19,"Die Türkei hat einen neuen Präsidenten.
Er ist seit dem Jahr 2014 gewählt worden, nachdem er die Wahlen gewonnen hatte und in der Stichwahl gegen den Kandidaten Recep Tayyip Erdogan verloren haben musste. Der Präsident von Syrien heißt Mohammed Abdel-Fälle sind bekannt geworden: In Deutschland gibt es Proteste wegen seiner Politik im Land USA, dass viele Menschen auf Grund des Wahlrechts gestorben waren. Die Polizei sagt aber auch über das Wahlergebnis nicht sicher aus oder weiß nichts mit Sicherheit sagen, ob es sich um eine politische Entscheidung handelt.",Die Türkei
german_gpt,beam,Das,84.95,5.0,2.1,4.55,7.3,7.272727272727272,1.5,7,"Die Türkei ist ein Land in Europa.
Das Land Türkei ist das größte Land der Welt.
Die Türkei liegt in der Türkei.
Sie ist ein kleines Land in Asien.
In der Türkei gibt es viele Menschen.
Viele Menschen leben in Städten.
Und viele Menschen arbeiten dort.
Zum Beispiel in der Stadt Istanbul.
Dort gibt es einen großen Flughafen.
Der Flughafen Istanbul ist der größte Flughafen der Welt, der von der Türkei gebaut wurde.
Es gibt einen Flughafen in Europa, der",Die Türkei
german_gpt,sampling,Das,65.55,10.3,6.0,5.13,15.0,15.0,1.7,14,"Die Türkei hat die Wahlen gewonnen.
Sie haben gesagt: Wir wollen nicht mehr regieren, weil wir Angst vor der Wahl hatten und es sehr schwierig war zu wählen. Die Menschen wollten wissen warum Erdogan gewählt wurde. Das ist eine Demokratie in dem Land Syrien.
Das bedeutet aber auch: Es gibt viele Probleme im Staat Israel, dass man sich an den demokratischen Regeln hält. In vielen Städten herrscht Krieg zwischen Muslimen aus verschiedenen Ländern wie Ägypten oder Iran mit arabischen Staaten über das Zusammenleben von Juden auf einem Gebiet namens Palästina-",Die Türkei
german_gpt,contrastive,Das,76.1,9.5,4.0,4.39,22.0,22.0,1.4,8,"Dieses Haus in der Stadt New York ist ein berühmtes Museum.
Es zeigt Menschen aus aller Welt, die im 19 Jahrhundert gelebt haben: Die Geschichte von den USA geht bis ins Jahr 1776 zurück und erzählt vom Land Amerika vor mehr als 100 Jahren auf einer Reise durch Europa mit einem Schiff nach Hause oder an Bord des Schiffes ""Titan"". Das Wort Titan bedeutet so viel wie „Eis-Schiff“. In dem Buch heißt es auch über das Eis fahrender Mensch kann man lesen, dass er eine Insel besucht hat;",Dieses Haus
german_gpt,beam,Das,84.95,5.0,1.2,4.68,7.3,7.272727272727272,1.5,2,"Dieses Haus ist ein großes Haus.
Es ist ein kleines Haus in der Nähe von der Stadt New York.
Das Haus ist in einem Viertel von New York City.
Dort wohnen viele Menschen.
Viele Menschen wohnen dort.
Und viele Menschen arbeiten hier.
Sie wohnen in Häusern.
Die meisten Menschen sind sehr arm.
Manche Menschen haben Angst vor dem Haus, weil sie sich dort nicht sicher fühlen.
Deshalb haben viele Menschen gesagt: Das Haus ist sehr gefährlich.
Aber viele Menschen haben",Dieses Haus
german_gpt,sampling,Das,75.1,7.7,4.2,4.68,11.3,11.25,1.6,12,"Dieses Haus ist ein altes Gebäude.
Es wurde im Jahr 1670 gebaut und war lange Zeit das Heim der Familie von Königin Elisabeth II. Das Schloss gehörte zu den berühmtesten Häusern in Großbritannien, die sich um ihre Kinder kümmerten. Es stand auf dem Land England, wo sie lebten. In diesem Hause lebte auch ihr Mann Prinz Philip mit seiner Frau Queen Elizabeth zusammen. Die beiden wohnten dort bis zum Tod ihres Mannes am 18 Jahre alt. Im 19 Jahrhundert wohnte Königin Mary immer wieder bei ihren Kindern. Später zog sie",Dieses Haus
german_gpt,contrastive,Das,74.5,7.9,3.8,4.75,11.9,11.857142857142858,1.6,10,"Mein Vater ist tot.
Er hat einen Brief geschrieben, in dem er seine Familie um Hilfe bittet: ""Ich möchte mit meinem Sohn leben."" Das heißt: Der Junge lebt bei seiner Mutter und seinen Eltern im Ausland auf der Welt-Insel Mallorca oder Spanien.
In Deutschland gibt es ein Gesetz gegen Kinder aus einem Land, das die Rechte von Kindern schützen soll. Es geht darum zu verhindern, dass sie nach Europa kommen können.  Das Bundeskabinett beschloss am 12., Juli 2016 eine Änderung des Gesetzes für",Mein Vater
german_gpt,beam,Das,103.6,1.0,-0.4,4.2,6.2,6.166666666666667,1.2,4,"Mein Vater ist tot.
Er hat einen Sohn bekommen.
Und er ist jetzt ein Junge.
Jetzt hat er einen Sohn.
Das heißt: Der Junge ist jetzt erwachsen.
Der Junge hat jetzt eine Tochter.
Sie heißt Mia.
Aber Mia ist noch nicht geboren.
Die Mutter sagt: Mia ist jetzt sehr krank.
Deshalb hat Mia gesagt: Mia hat jetzt einen Sohn, der noch nicht groß ist.
Dann hat Mia einen Jungen.
Mia ist jetzt schon erwachsen.",Mein Vater
german_gpt,sampling,Das,77.1,6.9,3.2,4.55,9.3,9.333333333333334,1.6,11,"Mein Vater ist tot.
Er hat sich selbst getötet und wurde von einem Auto überfahren. Er war ein Unfall-Fahrer, der mit seinem Wagen auf dem Weg nach Hause gefahren sein soll. In diesem Moment fuhr er in eine Stadt im Norden des Landes USA. Dort wollte seine Tochter abholen, um sie zu besuchen. Die Polizei fand die Leiche seiner Mutter am Straßenrand gefunden. Der Mann hatte gesagt: ""Ich habe mich umgebracht."" Das heißt: Ich bin nicht mehr da gewesen"". Später sagte der Täter aus",Mein Vater
german_gpt_orig,contrastive,Das,99.4,2.6,-0.3,4.08,10.4,10.428571428571429,1.2,2,"Das ist ein sehr guter Anfang.
Ich habe es nicht so gemeint, aber ich bin mir sicher... dass du das auch meinst! ""Es tut uns leid"" klingt gut und wir werden sehen wie viel Spaß ihr habt."" - Seht mal hier herüber: Die Sonne scheint in den Himmel hinein; die Wolken sind blauer als der Mond auf dem Mars!"" (lacht) Und dann? ""...und wieder?""...das war's für heute Abend um halb eins Uhr morgens...""(Lacht:) Ja",Das
german_gpt_orig,beam,Das,104.5,0.6,-2.6,3.33,5.3,5.25,1.2,0,"Das ist eine gute Idee.
Ich habe eine Idee, wie wir das machen können.
- Was ist das?
- Ich weiß nicht.
Es ist eine Art...
- Eine Art, wie man es machen kann.
Das ist gut.
Ja, das ist es.
Okay.
Also, was ist es?
Ich weiß nicht, was es ist, aber es ist...
Ich meine, es ist ein...
Es... es ist eine...
Eine Art...",Das
german_gpt_orig,sampling,Das,60.55,12.3,6.6,5.25,20.0,20.0,1.7,12,"Das ist ein sehr guter Vorschlag.
Ich möchte Sie bitten, die Kommission zu fragen: Ist es nicht möglich? - Ich weiß nichts davon! -, daß der Rat sich in dieser Frage noch weiter mit dem Parlament auseinandergesetzt hat und auch weiterhin über den Haushalt diskutieren wird; ich glaube aber doch an eine gewisse Kontinuität zwischen diesen beiden Institutionen im Hinblick auf das Problem des Haushalts plans für 1984/85 sowie darauf hin- wie dies bei anderen Gelegenheiten geschehen sein mag (siehe Protokoll). ßens)...",Das
german_gpt_orig,contrastive,Das,34.85,17.9,12.3,6.51,22.3,22.33333333333333,2.1,21,"Heute ist der ""Bärenwald"" ein beliebtes Ausflugsziel.
Die Gemeinde liegt an den Bundesstraßen B 3 und A 9, die beide in nordwestlicher Richtung verlaufen; sie sind über eine Umgehungsstraße erreichbar (Autobahnausfahrt Bad Segeberg). Die Bundesautobahn 7 verläuft etwa fünf Kilometer südlich des Ortes vorbei am Autobahnkreuz Elmshorn-Nord auf dem Gemeindegebiet von Plön gelegener Anschlussstellenkreuzungspunkt für das Fernstraßennetz im Kreis Schleswig Holstein sowie einer Anschlussstelle zur Bundesstraße 4",Heute
german_gpt_orig,beam,Das,97.15,2.4,-1.0,4.0,6.8,6.777777777777778,1.3,2,"Heute ist er der einzige, der noch lebt.
Er ist der Einzige, der sich um ihn kümmert.
Ich weiß nicht, was ich tun soll.
Es tut mir leid, dass ich dir nicht helfen konnte.
Aber ich kann dir helfen.
Du kannst mir helfen, wenn du willst.
- Ich kann nicht.
Bitte, bitte, bitte...
- Nein, nein, nein.
Nein, nein!
Bitte!
Nein!
- Bitte, bitte!
",Heute
