text,label
"Gleichzeitig entstand einerseits ein Bewusstsein um die Begrenztheit natürlicher Ressourcen insgesamt (etwa nach dem Ölschock der frühen 80er-Jahren), andererseits wurde das Deponieren etwa in urbanen Ballungsräumen (Megacyties) zunehmend undurchführbar.",5.75
So wurde er 1954 Pastor der Dexter Avenue Baptist Church in Montgomery (Alabama).,1.555555556
"Einige Geldautomaten können nicht nur Banknoten verarbeiten, sondern auch Münzen.",1.0
"Außerdem habe er „allgemein dazu […] geführt, die Bezahlung von Journalisten zu verbessern“.",1.8
Finnland gewinnt jährlich vor allem an seiner Küstenlinie jedes Jahr 700 Hektar Fläche.,2.333333333
"Wichtige theoretische Grundlagen entwickelte auch der Franzose Charles Cros, der seine Arbeiten ebenfalls im Jahr 1877 bei der Naturwissenschaftlichen Akademie in Paris einreichte.",2.9
Auf der Vorder-Seite steht: Für wie lange gilt der Ausweis.,2.0
"In der kanadischen Provinz British Columbia gibt es einen weiteren Nationalpark mit dem Namen Glacier, in Alaska liegt der Glacier-Bay-Nationalpark.",2.285714286
"Dabei handelt es sich der Sache nach nicht um EU-Vertragsrecht, wie man an den beteiligten Staaten erkennt.",3.111111111
"Bis zu seinem Lebensende sollte er als Journalist und Buchautor einen geschliffenen Stil pflegen, der ihm den Nobelpreis für Literatur einbrachte.",2.888888889
"Nachdem Churchill bei einem Eisenbahnüberfall der Buren gefangen genommen worden war, gelang ihm eine spektakuläre Flucht von Pretoria zur fast 500 Kilometer entfernten Delagoa-Bucht in der portugiesischen Kolonie Mosambik.",3.692307692
Das Komitee selbst wählt aus seinen Reihen den Vorsitzenden und dessen Stellvertreter.,2.916666667
Infolge des gravitationsbedingten Auslaufens (Drainage) der zwischen den Seifenfilmoberflächen befindlichen Flüssigkeit dünnt eine Seifenblase in ihrem oberen Teil zunehmend aus.,4.833333333
"Zwei Mechanismen sorgen dafür, dass es in noch größere Tiefen gelangt.",2.0
Sie können jetzt mit allen Zügen im Nah-Verkehr der Deutschen Bahn kostenlos fahren.,1.0
Ihr Vorkommen korreliert stark mit aktiven oder ehemals aktiven Vulkanregionen.,2.7
Daher können einige Friedensnobelpreise im Nachhinein als fraglich erachtet werden.,2.285714286
"Das Erscheinungsbild des Nationalparks prägen die quer zum Hauptkamm verlaufenden von eiszeitlichen Gletschern ausgeschliffenen Trogtäler mit über 750 Seen, von denen nur 131 einen offiziellen Namen tragen.",5.555555556
"Auch im späteren Römischen Reich, insbesondere von der Regierung Hadrians bis zu den späten Severern und von der Herrschaft des Gallienus bis zur Römischen Tetrarchie, war das Rasieren eine selten geübte Praxis.",4.111111111
"Der Aufbau ähnelt dem von Biomembranen, jedoch befindet sich bei Seifenblasen das Wasser innerhalb der Membran, nicht außerhalb.",3.444444444
"Am wichtigsten ist die sogenannte physikalische Kohlenstoffpumpe: Kohlenstoffreiches Oberflächenwasser kühlt sich in der Arktis ab, wird schwerer und sinkt ab, dann wird das kohlenstoffreiche Wasser über die kalte Tiefenströmung des globalen Förderbandes weiträumig in den Tiefen der Ozeane verteilt.",4.3
"Erst dadurch war der Aufbau einer oxidierenden Sauerstoffatmosphäre möglich, wobei über einen langen Zeitraum keine wesentlichen Konzentrationssteigerungen auftraten, da der freigesetzte Sauerstoff zunächst nur Eisenverbindungen oxidierte.",4.0
"Mit seiner Weigerung, in Verhandlungen mit Hitler einzutreten, und mit seinen Reden stärkte er in den kritischen Monaten des Frühjahrs und Sommers 1940 den britischen Widerstandswillen.",3.444444444
Spätere Nominierungen werden für das laufende Jahr nicht angenommen und gehen in die Entscheidung zum nächsten Jahr ein.,2.888888889
Nach dem Ende der Napoleonischen Kriege 1815 übte Großbritannien über ein Jahrhundert lang eine nahezu unangefochtene Dominanz über die Weltmeere aus.,2.285714286
Welche Regeln für die Rente von behinderten Menschen gibt es?.,1.0
Wegen des wachsenden Einflusses des Deutschen Reiches und der Vereinigten Staaten büßte Großbritannien seit etwa 1900 zunehmend seine politische und wirtschaftliche Vormachtstellung ein.,3.777777778
"Im Osten des Parks wurden 1937 am Two Medicine Lake +47 °C gemessen, südlich des Parks am Rogers Pass 1954 ?57 °C, die niedrigste Temperatur der Vereinigten Staaten außerhalb Alaskas.",2.888888889
In der gesamten Hydrosphäre sind schätzungsweise 38 000 Gigatonnen (Gt) Kohlenstoff gespeichert.,2.857142857
"Wie weit die Aufnahmefähigkeit sinkt, lässt sich schwer beziffern.",3.727272727
"Nobel selbst hat nie erklärt, warum er den Preis nicht wie alle anderen in Schweden vergeben lassen wollte.",1.428571429
"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",6.3
"So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.",4.3
"Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.",6.3
"Derzeit gibt es ein paar Gletscher, die wachsen.",1.8
Der Weltenergiebedarf ist verglichen mit der in der Kruste gespeicherten Wärme klein.,3.272727273
"Insbesondere in den USA, Kanada und einigen Golfstaaten gibt es auch Bankautomaten, die aus dem Auto heraus bedient werden können.",2.333333333
"Mehrere Siedlerkolonien, deren Bevölkerung vor allem durch den stetigen Zustrom von Auswanderern aus dem Mutterland zunahm, erhielten mit der Zeit mehr Autonomie und wurden zu Dominions erhoben.",4.8
"Jedoch bedarf die Benutzung einer gewissen Übung, um Verletzungen zu vermeiden.",2.5
Als Versauerung der Meere wird die Abnahme des pH-Wertes des Meerwassers bezeichnet.,2.133333333
Dann bekommen Sie eine bestimmte Menge Geld.,1.0
"Gleichzeitig entstand einerseits ein Bewusstsein um die Begrenztheit natürlicher Ressourcen insgesamt (etwa nach dem Ölschock der frühen 80er-Jahren), andererseits wurde das Deponieren etwa in urbanen Ballungsräumen (Megacyties) zunehmend undurchführbar.",5.75
"Die Matrosen und Heizer versuchten nun, ein erneutes Auslaufen zu verhindern und die Freilassung ihrer Kameraden zu erreichen.",3.375
Die Gletscher folgen weltweit den beobachteten Klima- und Temperaturschwankungen.,2.125
Ihr unmittelbarer Auslöser aber war der Flottenbefehl der Seekriegsleitung vom 24 Oktober 1918.,2.2
In den meisten Regionen der Welt steigen die Temperaturen hauptsächlich infolge des menschlichen Ausstoßes von Treibhausgasen an.,2.0
Er empfahl kalte Wassergüsse bei Rheuma und Gicht sowie kalte Wickel gegen Fieber.,3.071428571
"So wird es zunehmend als wichtig angesehen, dass alle arbeitsfähigen Personen ihren Lebensunterhalt mittel- und langfristig selbstverantwortlich erwirtschaften können.",3.125
"Stromatolithe aus versteinerten Biofilmen von Cyanobakterien sind in allen präkambrischen Gesteinen des Parks erhalten und besonders häufig in der Siyeh-Formation aus Dolomit und Kalkstein, aus der die Mehrzahl der höheren Gipfel im Park bestehen.",6.0
